Date,Open,High,Low,Close,Adj Close,Volume
2021-08-12,29.410000,29.750000,29.160000,29.459999,24.861954,14101100
2021-08-13,29.469999,30.049999,29.370001,29.920000,25.250160,14005900
2021-08-16,29.780001,29.780001,28.930000,29.350000,24.769123,14341000
2021-08-17,27.410000,28.450001,27.340000,27.750000,24.777973,20573000
2021-08-18,27.830000,28.080000,27.389999,27.420000,24.483316,15096100
2021-08-19,27.010000,27.420000,26.850000,27.160000,24.251162,13268300
2021-08-20,27.000000,27.160000,26.610001,27.150000,24.242233,12420500
2021-08-23,27.520000,28.070000,27.299999,28.059999,25.054771,21931900
2021-08-24,28.230000,28.379999,28.049999,28.379999,25.340500,9774200
2021-08-25,28.299999,28.469999,28.100000,28.450001,25.403004,9107100
2021-08-26,28.170000,28.650000,28.160000,28.219999,25.197636,17813300
2021-08-27,28.410000,29.110001,28.370001,29.080000,25.965530,10210800
2021-08-30,28.879999,29.260000,28.660000,28.719999,25.644085,15703900
2021-08-31,28.709999,28.780001,27.730000,27.920000,24.929766,30637100
2021-09-01,28.100000,28.120001,27.110001,27.770000,24.795832,18159400
2021-09-02,27.600000,28.240000,27.290001,27.290001,24.367239,15610800
2021-09-03,27.370001,27.469999,26.980000,27.299999,24.376167,34286600
2021-09-06,27.160000,27.580000,27.030001,27.370001,24.438671,7621100
2021-09-08,27.240000,27.260000,25.770000,25.850000,23.081463,26766100
2021-09-09,26.180000,26.540001,25.080000,26.090000,23.295759,40726600
2021-09-10,26.650000,26.750000,26.030001,26.070000,23.277901,16917300
2021-09-13,26.639999,27.070000,26.330000,26.879999,24.001150,8394200
2021-09-14,26.549999,26.879999,26.370001,26.680000,23.822571,12296700
2021-09-15,26.750000,27.299999,26.620001,26.969999,24.081511,12428700
2021-09-16,26.870001,26.940001,26.240000,26.719999,23.858286,9982400
2021-09-17,26.610001,26.700001,25.500000,25.500000,22.768948,31723100
2021-09-20,24.840000,25.240000,24.500000,25.230000,22.527864,20098700
2021-09-21,25.480000,25.840000,25.160000,25.629999,22.885025,11818300
2021-09-22,25.940001,26.740000,25.940001,26.459999,23.626131,12562500
2021-09-23,26.459999,27.559999,26.459999,27.559999,24.608322,14710700
2021-09-24,27.350000,27.840000,27.150000,27.559999,24.608322,12849300
2021-09-27,27.690001,28.379999,27.350000,27.990000,24.992270,19582400
2021-09-28,27.940001,28.830000,27.610001,27.750000,24.777973,16663600
2021-09-29,28.010000,28.389999,27.549999,28.170000,25.152990,27541000
2021-09-30,28.330000,28.420000,27.889999,28.150000,25.135132,19250400
2021-10-01,27.990000,28.770000,27.889999,28.680000,25.608370,10554300
2021-10-04,28.410000,29.440001,28.379999,29.379999,26.233398,20216400
2021-10-05,29.500000,30.129999,29.490000,29.870001,26.670921,15317400
2021-10-06,29.570000,29.750000,29.000000,29.139999,26.019104,14920700
2021-10-07,29.110001,29.500000,28.770000,29.200001,26.072680,11538500
2021-10-08,29.450001,30.230000,29.379999,29.790001,26.599489,17070200
2021-10-11,30.150000,30.500000,29.700001,29.770000,26.581631,14617900
2021-10-13,29.650000,30.480000,29.540001,30.299999,27.054867,17118700
2021-10-14,30.379999,30.889999,30.040001,30.250000,27.010223,15841300
2021-10-15,30.209999,30.379999,30.000000,30.160000,26.929861,10692300
2021-10-18,29.900000,30.450001,29.610001,30.200001,26.965578,13503600
2021-10-19,29.799999,29.990000,28.700001,28.879999,25.786949,28178500
2021-10-20,29.090000,29.740000,28.799999,29.500000,26.340548,17058200
2021-10-21,28.790001,29.180000,27.920000,28.459999,25.411932,33786700
2021-10-22,28.100000,28.360001,26.820000,27.900000,24.911907,43723800
2021-10-25,28.410000,29.770000,28.360001,29.610001,26.438768,38562900
2021-10-26,29.200001,29.879999,29.110001,29.270000,26.135181,15450300
2021-10-27,29.400000,29.600000,29.070000,29.309999,26.170897,16128000
2021-10-28,29.030001,29.750000,28.809999,29.590000,26.420910,20121300
2021-10-29,29.400000,29.400000,27.459999,27.670000,24.706541,33651200
2021-11-01,28.230000,29.090000,28.090000,28.700001,25.626228,33225700
2021-11-03,28.350000,28.480000,27.480000,27.480000,24.536890,20517700
2021-11-04,27.650000,27.799999,26.540001,26.670000,23.813641,16393400
2021-11-05,26.990000,27.260000,26.580000,26.690001,23.831499,17509000
2021-11-08,26.580000,27.590000,26.559999,27.129999,24.224375,18249300
2021-11-09,27.110001,27.920000,27.110001,27.549999,24.599392,16727500
2021-11-10,27.400000,27.879999,27.120001,27.320000,24.394026,15039700
2021-11-11,27.730000,27.730000,27.190001,27.320000,24.394026,10208400
2021-11-12,27.219999,27.850000,26.920000,27.820000,24.840475,12622800
2021-11-16,28.160000,28.500000,27.580000,28.240000,25.215494,13741500
2021-11-17,28.290001,28.379999,27.490000,27.590000,24.635109,15206200
2021-11-18,27.660000,27.809999,27.030001,27.570000,24.617250,18571600
2021-11-19,27.190001,27.379999,26.760000,27.190001,24.277950,14335200
2021-11-22,27.430000,28.200001,27.320000,27.440001,24.501175,15649900
2021-11-23,27.600000,28.889999,27.549999,28.730000,25.653015,19705200
2021-11-24,28.520000,29.290001,28.400000,29.290001,26.153040,50040000
2021-11-25,29.700001,30.700001,29.500000,30.500000,27.233448,13080500
2021-11-26,29.350000,29.910000,28.730000,29.170000,26.045891,30868900
2021-11-29,30.010000,30.520000,29.410000,30.160000,26.929861,16259300
2021-11-30,30.000000,30.280001,29.559999,30.139999,26.912003,38459400
2021-12-01,30.459999,31.260000,30.320000,30.350000,27.099514,25686900
2021-12-02,27.730000,29.600000,26.900000,29.520000,29.520000,49179200
2021-12-03,29.469999,30.129999,29.260000,30.070000,30.070000,32302000
2021-12-06,30.080000,30.700001,30.080000,30.350000,30.350000,20230300
2021-12-07,30.709999,31.330000,30.480000,31.190001,31.190001,33244600
2021-12-08,31.290001,31.930000,31.080000,31.080000,31.080000,22771400
2021-12-09,30.750000,31.280001,30.400000,31.080000,31.080000,12741700
2021-12-10,31.280001,32.020000,31.280001,31.490000,31.490000,9888400
2021-12-13,31.400000,31.920000,31.040001,31.459999,31.459999,20982700
2021-12-14,31.799999,31.799999,30.930000,31.020000,31.020000,13373800
2021-12-15,30.969999,31.090000,30.450001,30.920000,30.920000,18062800
2021-12-16,31.200001,32.040001,31.120001,31.559999,31.559999,26042200
2021-12-17,31.190001,31.490000,30.570000,30.790001,30.790001,24320600
2021-12-20,29.930000,30.400000,29.440001,30.200001,30.200001,28386300
2021-12-21,30.510000,30.830000,30.280001,30.340000,30.340000,10847300
2021-12-22,30.360001,30.500000,30.000000,30.219999,30.219999,10066300
2021-12-23,30.350000,30.680000,30.180000,30.440001,30.440001,6243500
2021-12-27,30.440001,31.230000,30.240000,31.040001,31.040001,17868100
2021-12-28,31.260000,31.469999,31.000000,31.059999,31.059999,8078000
2021-12-29,31.010000,31.340000,30.750000,30.950001,30.950001,11460950
2021-12-30,30.950001,31.129999,30.549999,30.700001,30.700001,34157000
2022-01-03,30.840000,31.670000,30.760000,31.520000,31.520000,15578500
